,Diagnostic,Regula ML,Număr pacienți,Interpretarea clinică
53,Normal,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC <= 11010.00 AND PLATELETS <= 450000.00 AND LYMP <= 45.25 AND WBC > 3945.00 AND PLATELETS > 149500.00 AND RBC <= 5.92 AND MCHC > 30.85 AND Hb > 16.05 AND Gender <= 0.50,20,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells <= 11010.00 și numărul de trombocite <= 450000.00 și proportia limfocitelor <= 45.25 și numărul de leucocite - White Blood Cells > 3945.00 și numărul de trombocite > 149500.00 și numărul de eritrocite - Red Blood Cells <= 5.92 și Hemoglobină Eritrocitară MedieC > 30.85 și Concentrație Medie de Hemoglobină Eritrocitară > 30.85 și nivelul hemoglobinei > 16.05 și genul <= 0.50
54,Normal,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC > 30.57 AND HCT > 36.85 AND Gender > 0.50 AND RBC > 3.65 AND WBC <= 10930.00,12,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC > 30.57 și Concentrație Medie de Hemoglobină Eritrocitară > 30.57 și hematocritul > 36.85 și genul > 0.50 și numărul de eritrocite - Red Blood Cells > 3.65 și numărul de leucocite - White Blood Cells <= 10930.00
55,Normal,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC <= 11010.00 AND PLATELETS <= 450000.00 AND LYMP <= 45.25 AND WBC > 3945.00 AND PLATELETS > 149500.00 AND RBC <= 5.92 AND MCHC > 30.85 AND Hb > 16.05 AND Gender > 0.50 AND HCT <= 47.29,5,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells <= 11010.00 și numărul de trombocite <= 450000.00 și proportia limfocitelor <= 45.25 și numărul de leucocite - White Blood Cells > 3945.00 și numărul de trombocite > 149500.00 și numărul de eritrocite - Red Blood Cells <= 5.92 și Hemoglobină Eritrocitară MedieC > 30.85 și Concentrație Medie de Hemoglobină Eritrocitară > 30.85 și nivelul hemoglobinei > 16.05 și genul > 0.50 și hematocritul <= 47.29
56,Normal,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC <= 11010.00 AND PLATELETS <= 450000.00 AND LYMP <= 45.25 AND WBC > 3945.00 AND PLATELETS > 149500.00 AND RBC > 5.92 AND RDW > 14.13,5,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells <= 11010.00 și numărul de trombocite <= 450000.00 și proportia limfocitelor <= 45.25 și numărul de leucocite - White Blood Cells > 3945.00 și numărul de trombocite > 149500.00 și numărul de eritrocite - Red Blood Cells > 5.92 și variabilitatea dimensiunii eritrocitelor > 14.13
57,Normocytic Anemia,RDW > 15.05 AND HCT <= 36.95 AND Hb <= 12.05 AND MCH > 21.95 AND MCH > 23.25,805,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară Medie > 21.95 și Hemoglobină Eritrocitară Medie > 23.25
58,Normocytic Anemia,RDW > 15.05 AND HCT <= 36.95 AND Hb <= 12.05 AND MCH <= 21.95 AND MCHC > 30.95,60,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară Medie <= 21.95 și Hemoglobină Eritrocitară MedieC > 30.95 și Concentrație Medie de Hemoglobină Eritrocitară > 30.95
59,Normocytic Anemia,RDW > 15.05 AND HCT <= 36.95 AND Hb <= 12.05 AND MCH > 21.95 AND MCH <= 23.25 AND MCV > 76.00,51,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară Medie > 21.95 și Hemoglobină Eritrocitară Medie <= 23.25 și Volumul Erotricitar Mediu > 76.00
60,Normocytic Anemia,RDW > 15.05 AND HCT <= 36.95 AND Hb <= 12.05 AND MCH > 21.95 AND MCH <= 23.25 AND MCV <= 76.00 AND MCHC > 30.95,49,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară Medie > 21.95 și Hemoglobină Eritrocitară Medie <= 23.25 și Volumul Erotricitar Mediu <= 76.00 și Hemoglobină Eritrocitară MedieC > 30.95 și Concentrație Medie de Hemoglobină Eritrocitară > 30.95
61,Normocytic Anemia,RDW > 15.05 AND HCT > 36.95 AND LYMP <= 44.10 AND WBC <= 11000.00 AND PLATELETS <= 447092.50 AND WBC > 4225.00 AND MCV > 81.85,13,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor <= 44.10 și numărul de leucocite - White Blood Cells <= 11000.00 și numărul de trombocite <= 447092.50 și numărul de leucocite - White Blood Cells > 4225.00 și Volumul Erotricitar Mediu > 81.85
62,Normocytic Anemia,RDW > 15.05 AND HCT <= 36.95 AND Hb > 12.05 AND MONO <= 9.99 AND WBC > 4250.00 AND LYMP <= 44.33 AND PLATELETS <= 451500.00 AND WBC <= 10930.00 AND RDW <= 17.90,8,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei > 12.05 și proporția monocitelor <= 9.99 și numărul de leucocite - White Blood Cells > 4250.00 și proportia limfocitelor <= 44.33 și numărul de trombocite <= 451500.00 și numărul de leucocite - White Blood Cells <= 10930.00 și variabilitatea dimensiunii eritrocitelor <= 17.90
63,Normocytic Anemia,RDW > 15.05 AND HCT > 36.95 AND LYMP <= 44.10 AND WBC > 11000.00 AND Hb <= 11.45,7,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor <= 44.10 și numărul de leucocite - White Blood Cells > 11000.00 și nivelul hemoglobinei <= 11.45
64,Normocytic Anemia,RDW > 15.05 AND HCT > 36.95 AND LYMP > 44.10 AND Hb <= 12.85 AND WBC <= 18760.00 AND Gender <= 0.50,6,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor > 44.10 și nivelul hemoglobinei <= 12.85 și numărul de leucocite - White Blood Cells <= 18760.00 și genul <= 0.50
65,Normocytic Anemia,RDW > 15.05 AND HCT <= 36.95 AND Hb <= 12.05 AND MCH <= 21.95 AND MCHC <= 30.95 AND MCV > 75.95,4,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară Medie <= 21.95 și Hemoglobină Eritrocitară MedieC <= 30.95 și Concentrație Medie de Hemoglobină Eritrocitară <= 30.95 și Volumul Erotricitar Mediu > 75.95
66,Polycythemia Vera,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC <= 11010.00 AND PLATELETS <= 450000.00 AND LYMP <= 45.25 AND WBC > 3945.00 AND PLATELETS > 149500.00 AND RBC > 5.92 AND RDW <= 14.13,11,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells <= 11010.00 și numărul de trombocite <= 450000.00 și proportia limfocitelor <= 45.25 și numărul de leucocite - White Blood Cells > 3945.00 și numărul de trombocite > 149500.00 și numărul de eritrocite - Red Blood Cells > 5.92 și variabilitatea dimensiunii eritrocitelor <= 14.13
67,Polycythemia Vera,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC <= 11010.00 AND PLATELETS <= 450000.00 AND LYMP <= 45.25 AND WBC > 3945.00 AND PLATELETS > 149500.00 AND RBC <= 5.92 AND MCHC > 30.85 AND Hb > 16.05 AND Gender > 0.50 AND HCT > 47.29,7,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells <= 11010.00 și numărul de trombocite <= 450000.00 și proportia limfocitelor <= 45.25 și numărul de leucocite - White Blood Cells > 3945.00 și numărul de trombocite > 149500.00 și numărul de eritrocite - Red Blood Cells <= 5.92 și Hemoglobină Eritrocitară MedieC > 30.85 și Concentrație Medie de Hemoglobină Eritrocitară > 30.85 și nivelul hemoglobinei > 16.05 și genul > 0.50 și hematocritul > 47.29
68,Polycythemia Vera,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC > 11010.00 AND LYMP <= 45.40 AND MONO > 8.20 AND PLATELETS <= 427847.00,6,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells > 11010.00 și proportia limfocitelor <= 45.40 și proporția monocitelor > 8.20 și numărul de trombocite <= 427847.00
69,Thrombocytopenia,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC <= 11010.00 AND PLATELETS <= 450000.00 AND LYMP <= 45.25 AND WBC > 3945.00 AND PLATELETS <= 149500.00,46,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells <= 11010.00 și numărul de trombocite <= 450000.00 și proportia limfocitelor <= 45.25 și numărul de leucocite - White Blood Cells > 3945.00 și numărul de trombocite <= 149500.00
70,Thrombocytopenia,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender > 0.50 AND MONO <= 10.11 AND WBC <= 11030.00 AND WBC > 4120.00 AND LYMP <= 44.88 AND PLATELETS <= 439500.00 AND PLATELETS <= 150000.00,15,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul > 0.50 și proporția monocitelor <= 10.11 și numărul de leucocite - White Blood Cells <= 11030.00 și numărul de leucocite - White Blood Cells > 4120.00 și proportia limfocitelor <= 44.88 și numărul de trombocite <= 439500.00 și numărul de trombocite <= 150000.00
71,Thrombocytopenia,RDW > 15.05 AND HCT > 36.95 AND LYMP <= 44.10 AND WBC <= 11000.00 AND PLATELETS <= 447092.50 AND WBC > 4225.00 AND MCV <= 81.85 AND PLATELETS <= 198000.00,13,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor <= 44.10 și numărul de leucocite - White Blood Cells <= 11000.00 și numărul de trombocite <= 447092.50 și numărul de leucocite - White Blood Cells > 4225.00 și Volumul Erotricitar Mediu <= 81.85 și numărul de trombocite <= 198000.00
72,Thrombocytopenia,RDW > 15.05 AND HCT <= 36.95 AND Hb > 12.05 AND MONO <= 9.99 AND WBC > 4250.00 AND LYMP <= 44.33 AND PLATELETS <= 451500.00 AND WBC <= 10930.00 AND RDW > 17.90,6,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei > 12.05 și proporția monocitelor <= 9.99 și numărul de leucocite - White Blood Cells > 4250.00 și proportia limfocitelor <= 44.33 și numărul de trombocite <= 451500.00 și numărul de leucocite - White Blood Cells <= 10930.00 și variabilitatea dimensiunii eritrocitelor > 17.90
73,Thrombocytopenia,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender <= 0.50 AND HCT > 39.99 AND Hb > 12.95 AND PLATELETS <= 648531.00 AND LYMP <= 45.75 AND WBC <= 10765.00,4,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul <= 0.50 și hematocritul > 39.99 și nivelul hemoglobinei > 12.95 și numărul de trombocite <= 648531.00 și proportia limfocitelor <= 45.75 și numărul de leucocite - White Blood Cells <= 10765.00
74,Thrombocytosis,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC <= 11010.00 AND PLATELETS > 450000.00 AND WBC > 2790.00,298,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells <= 11010.00 și numărul de trombocite > 450000.00 și numărul de leucocite - White Blood Cells > 2790.00
75,Thrombocytosis,RDW > 15.05 AND HCT > 36.95 AND LYMP <= 44.10 AND WBC <= 11000.00 AND PLATELETS > 447092.50,118,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor <= 44.10 și numărul de leucocite - White Blood Cells <= 11000.00 și numărul de trombocite > 447092.50
76,Thrombocytosis,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender > 0.50 AND MONO <= 10.11 AND WBC <= 11030.00 AND WBC > 4120.00 AND LYMP <= 44.88 AND PLATELETS > 439500.00,27,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul > 0.50 și proporția monocitelor <= 10.11 și numărul de leucocite - White Blood Cells <= 11030.00 și numărul de leucocite - White Blood Cells > 4120.00 și proportia limfocitelor <= 44.88 și numărul de trombocite > 439500.00
77,Thrombocytosis,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender <= 0.50 AND HCT > 39.99 AND Hb > 12.95 AND PLATELETS > 648531.00,10,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul <= 0.50 și hematocritul > 39.99 și nivelul hemoglobinei > 12.95 și numărul de trombocite > 648531.00
78,Thrombocytosis,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC > 30.57 AND HCT <= 36.85 AND PLATELETS > 778280.50,7,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC > 30.57 și Concentrație Medie de Hemoglobină Eritrocitară > 30.57 și hematocritul <= 36.85 și numărul de trombocite > 778280.50
79,Thrombocytosis,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC > 11010.00 AND LYMP <= 45.40 AND MONO > 8.20 AND PLATELETS > 427847.00,7,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells > 11010.00 și proportia limfocitelor <= 45.40 și proporția monocitelor > 8.20 și numărul de trombocite > 427847.00
80,Thrombocytosis,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender <= 0.50 AND HCT <= 39.99 AND MCHC > 30.75 AND Hb > 12.95 AND PLATELETS > 539382.00,6,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul <= 0.50 și hematocritul <= 39.99 și Hemoglobină Eritrocitară MedieC > 30.75 și Concentrație Medie de Hemoglobină Eritrocitară > 30.75 și nivelul hemoglobinei > 12.95 și numărul de trombocite > 539382.00
81,Thrombocytosis,RDW <= 15.05 AND RBC > 4.49 AND Hb <= 11.95 AND MCH > 23.60 AND WBC <= 10760.00,6,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei <= 11.95 și Hemoglobină Eritrocitară Medie > 23.60 și numărul de leucocite - White Blood Cells <= 10760.00
82,Thrombocytosis,RDW > 15.05 AND HCT <= 36.95 AND Hb > 12.05 AND MONO <= 9.99 AND WBC > 4250.00 AND LYMP <= 44.33 AND PLATELETS > 451500.00,6,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei > 12.05 și proporția monocitelor <= 9.99 și numărul de leucocite - White Blood Cells > 4250.00 și proportia limfocitelor <= 44.33 și numărul de trombocite > 451500.00
83,Thrombocytosis,RDW > 15.05 AND HCT > 36.95 AND LYMP <= 44.10 AND WBC > 11000.00 AND Hb > 11.45 AND MONO > 9.75,6,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor <= 44.10 și numărul de leucocite - White Blood Cells > 11000.00 și nivelul hemoglobinei > 11.45 și proporția monocitelor > 9.75
84,Thrombocytosis,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender <= 0.50 AND HCT <= 39.99 AND MCHC > 30.75 AND Hb <= 12.95 AND PLATELETS > 616466.50,3,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul <= 0.50 și hematocritul <= 39.99 și Hemoglobină Eritrocitară MedieC > 30.75 și Concentrație Medie de Hemoglobină Eritrocitară > 30.75 și nivelul hemoglobinei <= 12.95 și numărul de trombocite > 616466.50
85,Thrombocytosis,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender > 0.50 AND MONO > 10.11 AND LYMP <= 48.02,3,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul > 0.50 și proporția monocitelor > 10.11 și proportia limfocitelor <= 48.02
86,Viral Infections,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC <= 11010.00 AND PLATELETS <= 450000.00 AND LYMP > 45.25,134,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells <= 11010.00 și numărul de trombocite <= 450000.00 și proportia limfocitelor > 45.25
87,Viral Infections,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender > 0.50 AND MONO <= 10.11 AND WBC <= 11030.00 AND WBC > 4120.00 AND LYMP > 44.88,46,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul > 0.50 și proporția monocitelor <= 10.11 și numărul de leucocite - White Blood Cells <= 11030.00 și numărul de leucocite - White Blood Cells > 4120.00 și proportia limfocitelor > 44.88
88,Viral Infections,RDW > 15.05 AND HCT > 36.95 AND LYMP > 44.10 AND Hb > 12.85 AND MONO <= 9.05 AND WBC <= 10925.00,25,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor > 44.10 și nivelul hemoglobinei > 12.85 și proporția monocitelor <= 9.05 și numărul de leucocite - White Blood Cells <= 10925.00
89,Viral Infections,RDW > 15.05 AND HCT <= 36.95 AND Hb > 12.05 AND MONO <= 9.99 AND WBC > 4250.00 AND LYMP > 44.33 AND WBC <= 10660.00,15,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei > 12.05 și proporția monocitelor <= 9.99 și numărul de leucocite - White Blood Cells > 4250.00 și proportia limfocitelor > 44.33 și numărul de leucocite - White Blood Cells <= 10660.00
90,Viral Infections,RDW > 15.05 AND HCT > 36.95 AND LYMP > 44.10 AND Hb <= 12.85 AND WBC <= 18760.00 AND Gender > 0.50 AND WBC <= 11855.00,14,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor > 44.10 și nivelul hemoglobinei <= 12.85 și numărul de leucocite - White Blood Cells <= 18760.00 și genul > 0.50 și numărul de leucocite - White Blood Cells <= 11855.00
91,Viral Infections,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender <= 0.50 AND HCT > 39.99 AND Hb > 12.95 AND PLATELETS <= 648531.00 AND LYMP > 45.75 AND Hb <= 14.20,6,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul <= 0.50 și hematocritul > 39.99 și nivelul hemoglobinei > 12.95 și numărul de trombocite <= 648531.00 și proportia limfocitelor > 45.75 și nivelul hemoglobinei <= 14.20
92,Viral Infections,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender > 0.50 AND MONO <= 10.11 AND WBC <= 11030.00 AND WBC <= 4120.00 AND LYMP > 43.50,5,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul > 0.50 și proporția monocitelor <= 10.11 și numărul de leucocite - White Blood Cells <= 11030.00 și numărul de leucocite - White Blood Cells <= 4120.00 și proportia limfocitelor > 43.50
93,Viral Infections,RDW > 15.05 AND HCT <= 36.95 AND Hb > 12.05 AND MONO <= 9.99 AND WBC <= 4250.00 AND Age > 59.00,3,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei > 12.05 și proporția monocitelor <= 9.99 și numărul de leucocite - White Blood Cells <= 4250.00 și vârsta > 59.00
